problemSize,sequential_graham_scan,BSP_convex_hull_on_2_processors,BSP_convex_hull_on_4_processors
1024,0.000835004,0.000390353,0.000422783
2048,0.00178123,0.000709455,0.00573221
4096,0.00362652,0.00126858,0.00124553
8192,0.00770879,0.00251619,0.0023961
16384,0.0159891,0.00500903,0.00489445
32768,0.0339904,0.00996535,0.00933084
65536,0.0697682,0.0207361,0.0187014
131072,0.145929,0.042531,0.037214
262144,0.30357,0.0856266,0.0768919
524288,0.637161,0.17239,0.153241
1048576,1.31618,0.352439,0.329857
2097152,2.71945,0.723974,0.64798
4194304,5.652,1.48161,1.26477
